timedifference,trialnumber,blocknumber,xpos,ypos
0,1,1,967,800
5,1,1,967,784
5,1,1,967,762
5,1,1,967,738
5,1,1,967,714
5,1,1,965,691
5,1,1,963,665
5,1,1,963,637
5,1,1,963,605
5,1,1,965,565
5,1,1,971,518
5,1,1,975,460
5,1,1,975,402
5,1,1,979,351
5,1,1,981,303
5,1,1,987,263
5,1,1,990,230
5,1,1,994,202
5,1,1,1000,178
5,1,1,1004,154
5,1,1,1008,137
5,1,1,1010,113
5,1,1,1014,93
5,1,1,1016,77
5,1,1,1016,57
5,1,1,1016,39
5,1,1,1014,24
5,1,1,1011,8
5,1,1,1007,0
5,1,1,1003,0
5,1,1,998,0
5,1,1,993,0
5,1,1,987,0
5,1,1,982,0
5,1,1,976,0
5,1,1,973,0
5,1,1,968,0
5,1,1,965,0
5,1,1,961,0
5,1,1,957,0
5,1,1,951,1
5,1,1,947,3
5,1,1,939,5
5,1,1,930,5
5,1,1,919,6
5,1,1,908,6
5,1,1,895,6
5,1,1,882,4
5,1,1,866,0
5,1,1,850,0
5,1,1,836,0
5,1,1,825,0
5,1,1,817,0
5,1,1,817,0
5,1,1,821,0
5,1,1,836,0
5,1,1,860,4
5,1,1,896,14
5,1,1,942,22
5,1,1,1002,33
5,1,1,1071,47
5,1,1,1129,63
5,1,1,1221,75
5,1,1,1299,93
5,1,1,1377,103
5,1,1,1449,113
0,2,1,975,805
5,2,1,977,787
5,2,1,977,763
5,2,1,977,735
5,2,1,977,701
5,2,1,977,667
5,2,1,979,635
5,2,1,977,607
5,2,1,975,585
5,2,1,971,562
5,2,1,965,540
5,2,1,961,518
5,2,1,955,494
5,2,1,949,468
5,2,1,945,440
5,2,1,941,408
5,2,1,941,372
5,2,1,939,335
5,2,1,939,293
5,2,1,939,253
5,2,1,939,213
5,2,1,939,177
5,2,1,938,149
5,2,1,936,127
5,2,1,936,109
5,2,1,936,98
5,2,1,936,90
5,2,1,939,81
5,2,1,942,71
5,2,1,946,63
5,2,1,950,54
5,2,1,953,45
5,2,1,957,36
5,2,1,960,27
5,2,1,962,17
5,2,1,965,6
5,2,1,967,0
5,2,1,970,0
5,2,1,974,0
5,2,1,979,0
5,2,1,989,0
5,2,1,1001,0
5,2,1,1017,0
5,2,1,1032,0
5,2,1,1050,0
5,2,1,1070,0
5,2,1,1092,0
5,2,1,1112,0
5,2,1,1140,0
5,2,1,1160,0
5,2,1,1180,0
5,2,1,1196,0
5,2,1,1210,0
5,2,1,1221,0
5,2,1,1230,0
5,2,1,1238,0
5,2,1,1243,0
5,2,1,1249,0
5,2,1,1258,0
5,2,1,1269,0
5,2,1,1285,0
5,2,1,1307,0
5,2,1,1335,0
5,2,1,1370,0
5,2,1,1412,0
5,2,1,1460,0
0,3,1,943,951
5,3,1,945,939
5,3,1,947,924
5,3,1,951,906
5,3,1,955,886
5,3,1,957,864
5,3,1,961,844
5,3,1,963,824
5,3,1,965,807
5,3,1,967,789
5,3,1,969,773
5,3,1,969,757
5,3,1,970,742
5,3,1,972,724
5,3,1,976,704
5,3,1,980,681
5,3,1,984,651
5,3,1,990,619
5,3,1,996,582
5,3,1,1003,546
5,3,1,1011,507
5,3,1,1019,466
5,3,1,1023,424
5,3,1,1027,376
5,3,1,1029,341
5,3,1,1029,309
5,3,1,1029,283
5,3,1,1029,261
5,3,1,1029,241
5,3,1,1031,223
5,3,1,1033,205
5,3,1,1035,187
5,3,1,1036,169
5,3,1,1038,149
5,3,1,1040,131
5,3,1,1042,116
5,3,1,1044,102
5,3,1,1048,89
5,3,1,1051,77
5,3,1,1055,63
5,3,1,1059,54
5,3,1,1064,46
5,3,1,1071,40
5,3,1,1076,35
5,3,1,1086,29
5,3,1,1095,21
5,3,1,1109,12
5,3,1,1125,0
5,3,1,1143,0
5,3,1,1161,0
5,3,1,1183,0
5,3,1,1205,0
5,3,1,1229,0
5,3,1,1255,0
5,3,1,1281,0
5,3,1,1303,0
5,3,1,1323,0
5,3,1,1336,0
5,3,1,1342,0
5,3,1,1340,0
5,3,1,1326,0
5,3,1,1294,0
5,3,1,1248,0
5,3,1,1180,0
5,3,1,1098,0
5,3,1,994,0
5,3,1,876,0
5,3,1,746,0
5,3,1,604,0
5,3,1,458,0
0,4,1,883,876
5,4,1,881,867
5,4,1,881,856
5,4,1,880,847
5,4,1,880,839
5,4,1,880,828
5,4,1,880,820
5,4,1,880,809
5,4,1,880,798
5,4,1,880,780
5,4,1,880,762
5,4,1,881,747
5,4,1,883,731
5,4,1,886,719
5,4,1,888,710
5,4,1,891,701
5,4,1,893,690
5,4,1,896,676
5,4,1,904,662
5,4,1,912,643
5,4,1,924,617
5,4,1,935,596
5,4,1,945,576
5,4,1,953,548
5,4,1,959,525
5,4,1,965,499
5,4,1,969,471
5,4,1,972,444
5,4,1,976,412
5,4,1,982,379
5,4,1,990,353
5,4,1,1000,314
5,4,1,1010,281
5,4,1,1023,251
5,4,1,1037,224
5,4,1,1049,202
5,4,1,1061,171
5,4,1,1073,145
5,4,1,1083,116
5,4,1,1092,81
5,4,1,1108,39
5,4,1,1126,0
5,4,1,1146,0
5,4,1,1170,0
5,4,1,1196,0
5,4,1,1224,0
5,4,1,1254,0
5,4,1,1282,0
5,4,1,1304,0
5,4,1,1324,0
5,4,1,1336,0
5,4,1,1343,0
5,4,1,1345,0
5,4,1,1346,0
5,4,1,1346,0
5,4,1,1344,1
5,4,1,1336,8
5,4,1,1323,20
5,4,1,1305,34
5,4,1,1285,52
5,4,1,1259,74
5,4,1,1229,96
5,4,1,1197,120
5,4,1,1165,142
5,4,1,1135,166
5,4,1,1107,180
5,4,1,1083,200
5,4,1,1063,208
5,4,1,1050,211
5,4,1,1044,213
5,4,1,1044,213
5,4,1,1044,212
5,4,1,1055,208
5,4,1,1073,198
5,4,1,1101,188
5,4,1,1133,180
5,4,1,1169,168
5,4,1,1208,160
5,4,1,1246,154
5,4,1,1284,148
5,4,1,1322,144
5,4,1,1360,140
5,4,1,1398,136
5,4,1,1434,133
5,4,1,1468,129
0,5,1,920,897
5,5,1,922,883
5,5,1,926,863
5,5,1,934,838
5,5,1,940,808
5,5,1,946,772
5,5,1,952,735
5,5,1,955,691
5,5,1,959,646
5,5,1,963,598
5,5,1,967,555
5,5,1,969,511
5,5,1,973,471
5,5,1,975,431
5,5,1,977,391
5,5,1,981,358
5,5,1,983,326
5,5,1,985,296
5,5,1,987,268
5,5,1,989,241
5,5,1,991,217
5,5,1,993,195
5,5,1,996,177
5,5,1,998,166
5,5,1,998,157
5,5,1,1000,153
5,5,1,1002,148
5,5,1,1002,146
5,5,1,1003,143
5,5,1,1003,143
5,5,1,1003,142
5,5,1,1003,142
5,5,1,1003,142
5,5,1,1003,142
5,5,1,1003,142
5,5,1,1003,142
5,5,1,1003,142
5,5,1,1003,142
5,5,1,1003,142
5,5,1,1003,142
5,5,1,1003,142
5,5,1,1004,142
5,5,1,1006,142
5,5,1,1011,140
5,5,1,1020,138
5,5,1,1033,134
5,5,1,1049,126
5,5,1,1067,120
5,5,1,1087,111
5,5,1,1107,103
5,5,1,1124,91
5,5,1,1140,81
5,5,1,1152,69
5,5,1,1160,59
5,5,1,1163,50
5,5,1,1163,43
5,5,1,1162,33
5,5,1,1152,25
5,5,1,1138,11
5,5,1,1118,1
5,5,1,1092,0
5,5,1,1060,0
5,5,1,1022,0
5,5,1,976,0
5,5,1,922,0
5,5,1,866,0
5,5,1,804,0
5,5,1,740,0
5,5,1,674,0
5,5,1,608,0
5,5,1,544,0
5,5,1,483,0
0,6,1,1004,807
5,6,1,1001,796
5,6,1,997,784
5,6,1,995,766
5,6,1,995,744
5,6,1,995,720
5,6,1,995,692
5,6,1,997,661
5,6,1,999,625
5,6,1,1001,587
5,6,1,1007,546
5,6,1,1015,503
5,6,1,1020,463
5,6,1,1024,429
5,6,1,1024,397
5,6,1,1026,370
5,6,1,1026,344
5,6,1,1022,318
5,6,1,1018,282
5,6,1,1015,250
5,6,1,1009,223
5,6,1,1007,197
5,6,1,1007,175
5,6,1,1007,157
5,6,1,1007,141
5,6,1,1008,127
5,6,1,1012,118
5,6,1,1013,109
5,6,1,1015,102
5,6,1,1016,95
5,6,1,1018,92
5,6,1,1018,89
5,6,1,1018,88
5,6,1,1018,88
5,6,1,1017,87
5,6,1,1016,87
5,6,1,1014,87
5,6,1,1010,87
5,6,1,1004,89
5,6,1,997,93
5,6,1,986,97
5,6,1,977,101
5,6,1,966,104
5,6,1,958,106
5,6,1,949,108
5,6,1,943,108
5,6,1,937,108
5,6,1,929,108
5,6,1,921,105
5,6,1,912,99
5,6,1,901,93
5,6,1,893,86
5,6,1,890,78
5,6,1,890,73
5,6,1,899,63
5,6,1,923,52
5,6,1,961,38
5,6,1,1015,28
5,6,1,1085,20
5,6,1,1171,16
5,6,1,1267,16
5,6,1,1370,19
5,6,1,1480,25
0,7,1,926,807
