timedifference,trialnumber,blocknumber,xpos,ypos
timedifference,trialnumber,blocknumber,xpos,ypos
timedifference,trialnumber,blocknumber,xpos,ypos
timedifference,trialnumber,blocknumber,xpos,ypos
timedifference,trialnumber,blocknumber,xpos,ypos
timedifference,trialnumber,blocknumber,xpos,ypos
timedifference,trialnumber,blocknumber,xpos,ypos
0,1,1,969,766
5,1,1,969,766
6,1,1,969,766
21,1,1,996,663
7,1,1,996,663
6,1,1,996,663
7,1,1,993,610
5,1,1,993,610
6,1,1,993,610
8,1,1,978,566
6,1,1,978,566
6,1,1,978,566
12,1,1,978,566
8,1,1,955,507
5,1,1,955,507
9,1,1,941,478
5,1,1,941,478
6,1,1,941,478
5,1,1,932,460
6,1,1,928,450
10,1,1,922,437
5,1,1,922,437
5,1,1,922,437
5,1,1,913,421
7,1,1,910,416
11,1,1,908,406
6,1,1,908,406
8,1,1,907,396
10,1,1,909,389
12,1,1,916,377
6,1,1,916,377
7,1,1,916,377
7,1,1,933,361
6,1,1,944,352
5,1,1,956,344
5,1,1,956,344
5,1,1,977,329
5,1,1,991,322
15,1,1,1047,296
8,1,1,1047,296
5,1,1,1047,296
7,1,1,1132,266
9,1,1,1189,247
5,1,1,1189,247
7,1,1,1242,228
7,1,1,1303,211
6,1,1,1334,201
5,1,1,1334,201
10,1,1,1433,174
6,1,1,1433,174
5,1,1,1433,174
7,1,1,1553,145
0,2,1,948,833
6,2,1,948,833
6,2,1,948,833
14,2,1,959,739
6,2,1,959,739
5,2,1,959,739
11,2,1,975,613
5,2,1,975,613
7,2,1,987,561
7,2,1,996,533
7,2,1,996,533
7,2,1,1009,499
9,2,1,1020,479
5,2,1,1025,469
5,2,1,1031,461
7,2,1,1038,448
11,2,1,1053,430
5,2,1,1053,430
8,2,1,1071,408
8,2,1,1086,391
8,2,1,1099,379
6,2,1,1099,379
19,2,1,1141,328
5,2,1,1141,328
8,2,1,1141,328
5,2,1,1141,328
6,2,1,1141,328
6,2,1,1141,328
6,2,1,1141,328
6,2,1,1123,284
12,2,1,1088,272
5,2,1,1088,272
15,2,1,1012,257
8,2,1,1012,257
18,2,1,864,241
6,2,1,864,241
9,2,1,864,241
6,2,1,864,241
5,2,1,864,241
8,2,1,696,210
6,2,1,670,205
9,2,1,644,197
15,2,1,554,172
5,2,1,554,172
5,2,1,554,172
9,2,1,554,172
12,2,1,441,147
5,2,1,441,147
5,2,1,441,147
6,2,1,441,147
14,2,1,384,141
timedifference,trialnumber,blocknumber,xpos,ypos
timedifference,trialnumber,blocknumber,xpos,ypos
timedifference,trialnumber,blocknumber,xpos,ypos
timedifference,trialnumber,blocknumber,xpos,ypos
timedifference,trialnumber,blocknumber,xpos,ypos
timedifference,trialnumber,blocknumber,xpos,ypos
0,1,1,955,867
5,1,1,955,860
5,1,1,955,850
5,1,1,955,839
5,1,1,955,826
5,1,1,955,815
5,1,1,957,801
5,1,1,959,788
5,1,1,961,772
5,1,1,962,756
5,1,1,964,741
5,1,1,966,723
5,1,1,968,703
5,1,1,970,679
5,1,1,970,655
5,1,1,972,633
5,1,1,974,615
5,1,1,974,600
5,1,1,976,584
5,1,1,978,570
5,1,1,982,556
5,1,1,982,541
5,1,1,986,525
5,1,1,988,509
5,1,1,988,491
5,1,1,990,475
5,1,1,992,458
5,1,1,996,444
5,1,1,998,431
5,1,1,1000,415
5,1,1,1000,401
5,1,1,1000,390
5,1,1,1000,376
5,1,1,1000,363
5,1,1,1000,350
5,1,1,1000,336
5,1,1,1000,325
5,1,1,1000,315
5,1,1,1000,306
5,1,1,1000,296
5,1,1,1002,287
5,1,1,1002,276
5,1,1,1004,265
5,1,1,1004,255
5,1,1,1006,246
5,1,1,1010,235
5,1,1,1012,226
5,1,1,1015,214
5,1,1,1017,203
5,1,1,1023,192
5,1,1,1029,178
5,1,1,1037,166
5,1,1,1043,154
5,1,1,1050,145
5,1,1,1060,135
5,1,1,1066,125
5,1,1,1074,115
5,1,1,1084,106
5,1,1,1094,96
5,1,1,1101,88
5,1,1,1109,82
5,1,1,1118,77
5,1,1,1129,71
5,1,1,1143,65
5,1,1,1161,57
5,1,1,1183,51
5,1,1,1207,43
5,1,1,1237,35
5,1,1,1277,29
5,1,1,1325,25
5,1,1,1375,23
5,1,1,1429,23
0,2,1,923,935
5,2,1,923,933
5,2,1,923,929
5,2,1,923,926
5,2,1,923,919
5,2,1,923,915
5,2,1,923,907
5,2,1,921,899
5,2,1,921,890
5,2,1,919,882
5,2,1,915,871
5,2,1,911,859
5,2,1,907,846
5,2,1,903,830
5,2,1,898,812
5,2,1,892,794
5,2,1,886,776
5,2,1,878,752
5,2,1,868,728
5,2,1,858,702
5,2,1,850,676
5,2,1,842,650
5,2,1,834,626
5,2,1,828,602
5,2,1,826,578
5,2,1,824,556
5,2,1,824,534
5,2,1,824,514
5,2,1,830,492
5,2,1,836,470
5,2,1,844,448
5,2,1,852,428
5,2,1,862,406
5,2,1,870,384
5,2,1,878,364
5,2,1,886,344
5,2,1,894,326
