trialnumber,blocknumber,success,reactiontime,currentcongruency,currentdirection,currentlocation,previouscongruency,previousdirection,previouslocation
1,1,1,458,0,0,1,0,0,1
2,1,1,532,1,1,0,0,0,1
3,1,1,411,0,1,1,1,1,0
4,1,0,329,1,1,0,0,1,1
5,1,1,498,1,0,1,1,1,0
6,1,1,431,1,0,0,1,0,1
7,1,1,450,0,1,0,1,0,0
8,1,1,386,0,0,0,0,0,0
8,1,1,386,0,0,0,0,1,0
9,1,1,409,0,1,1,0,0,0
10,1,1,387,0,0,0,0,1,1
11,1,1,467,0,0,1,0,0,0
12,1,1,422,0,1,1,0,0,1
13,1,1,391,1,0,0,0,1,1
14,1,1,488,0,0,1,1,0,0
15,1,1,507,1,1,0,0,0,1
16,1,1,407,0,0,0,1,1,0
17,1,0,406,0,1,0,0,0,0
18,1,1,398,1,0,0,0,1,0
19,1,1,621,0,1,0,1,0,0
20,1,1,422,0,0,0,0,1,0
21,1,1,506,1,1,0,0,0,0
22,1,1,425,0,1,1,1,1,0
23,1,1,467,1,0,1,0,1,1
24,1,1,427,1,1,0,1,0,1
25,1,1,425,1,0,0,1,1,0
26,1,1,514,0,1,0,1,0,0
27,1,1,452,1,0,1,0,1,0
28,1,1,448,0,1,0,1,0,1
29,1,1,493,1,1,0,0,1,0
30,1,1,521,1,0,1,1,1,0
31,1,1,567,0,0,1,1,0,1
32,1,1,428,1,1,1,0,0,1
33,1,1,409,0,1,1,1,1,1
34,1,1,391,1,0,0,0,1,1
35,1,1,424,1,1,0,1,0,0
36,1,1,386,0,1,1,1,1,0
37,1,1,429,1,0,1,0,1,1
38,1,1,413,0,1,0,1,0,1
39,1,1,398,1,0,1,0,1,0
40,1,1,795,0,0,1,1,0,1
41,1,1,419,0,1,1,0,0,1
42,1,1,369,1,0,0,0,1,1
43,1,1,370,1,1,1,1,0,0
44,1,1,399,0,0,1,1,1,1
45,1,1,553,1,1,0,0,0,1
46,1,1,855,1,1,0,1,1,0
47,1,1,387,1,0,1,1,1,0
48,1,1,411,1,1,1,1,0,1
49,1,1,452,0,0,1,1,1,1
50,1,1,440,0,1,0,0,0,1
51,1,1,421,0,0,1,0,1,0
52,1,1,409,1,1,0,0,0,1
53,1,1,537,0,1,0,1,1,0
54,1,1,329,0,1,0,0,1,0
55,1,1,491,0,1,0,0,1,0
56,1,1,531,1,0,1,0,1,0
57,1,1,424,1,0,0,1,0,1
58,1,1,436,0,1,1,1,0,0
59,1,1,473,0,0,1,0,1,1
60,1,1,426,1,1,1,0,0,1
61,1,1,390,1,0,0,1,1,1
62,1,1,624,0,0,0,1,0,0
63,1,1,411,1,1,1,0,0,0
64,1,1,643,0,1,1,1,1,1
65,1,1,512,1,0,1,0,1,1
66,1,1,424,0,0,0,1,0,1
67,1,1,437,1,0,0,0,0,0
68,1,1,571,0,0,1,1,0,0
69,1,1,491,0,1,1,0,0,1
70,1,1,502,1,1,0,0,1,1
71,1,1,381,0,0,0,1,1,0
72,1,1,491,1,0,0,0,0,0
73,1,1,505,1,0,1,1,0,0
74,1,0,0,1,0,1,1,0,1
75,1,1,472,0,1,1,1,0,1
76,1,1,368,0,0,0,0,1,1
77,1,1,448,0,0,1,0,0,0
78,1,0,329,0,1,0,0,0,1
79,1,1,482,1,1,0,0,1,0
80,1,1,437,1,1,1,1,1,0
81,1,0,0,0,0,0,1,1,1
82,1,1,385,0,0,0,0,0,0
