trialnumber,blocknumber,success,reactiontime,currentcongruency,currentdirection,currentlocation,previouscongruency,previousdirection,previouslocation
83,1,1,429,1,1,1,0,0,0
84,1,1,417,1,1,1,1,1,1
85,1,1,541,0,1,0,1,1,1
86,1,1,488,0,0,1,0,1,0
87,1,1,518,0,0,0,0,0,1
88,1,1,487,1,1,1,0,0,0
89,1,1,436,1,0,1,1,1,1
90,1,1,377,0,0,1,1,0,1
91,1,1,372,1,0,1,0,0,1
92,1,1,546,1,1,0,1,0,1
93,1,1,374,0,1,1,1,1,0
94,1,1,458,0,1,1,0,1,1
95,1,1,616,1,1,0,0,1,1
96,1,1,384,1,0,1,1,1,0
97,1,1,433,1,1,0,1,0,1
98,1,1,365,0,1,1,1,1,0
99,1,1,562,0,1,0,0,1,1
100,1,1,451,0,1,0,0,1,0
101,1,1,477,1,0,1,0,1,0
102,1,1,474,0,1,0,1,0,1
103,1,1,489,0,0,1,0,1,0
104,1,1,376,1,1,1,0,0,1
105,1,1,545,0,1,0,1,1,1
106,1,1,553,0,0,1,0,1,0
107,1,1,486,1,0,1,0,0,1
108,1,1,391,1,0,0,1,0,1
109,1,1,358,1,0,0,1,0,0
110,1,1,307,0,0,0,1,0,0
111,1,1,407,0,1,1,0,0,0
112,1,1,376,0,0,0,0,1,1
113,1,1,319,1,1,1,0,0,0
114,1,1,430,0,0,0,1,1,1
115,1,1,435,1,1,1,0,0,0
116,1,1,458,1,1,1,1,1,1
117,1,1,419,0,1,1,1,1,1
118,1,1,418,1,1,1,0,1,1
119,1,1,487,1,0,1,1,1,1
120,1,1,494,0,1,1,1,0,1
121,1,1,499,1,1,1,0,1,1
122,1,1,474,0,0,1,1,1,1
123,1,1,441,1,0,1,0,0,1
124,1,1,415,1,0,0,1,0,1
125,1,1,430,1,0,0,1,0,0
126,1,1,574,1,1,0,1,0,0
127,1,1,653,0,0,1,1,1,0
128,1,1,323,0,0,0,0,0,1
129,1,1,425,1,0,1,0,0,0
130,1,1,438,1,0,0,1,0,1
131,1,1,428,0,0,0,1,0,0
132,1,1,470,1,1,1,0,0,0
133,1,1,479,1,1,1,1,1,1
134,1,1,564,1,1,0,1,1,1
135,1,1,417,1,1,1,1,1,0
136,1,1,436,0,0,0,1,1,1
137,1,1,403,0,0,0,0,0,0
138,1,0,357,0,1,0,0,0,0
139,1,1,394,0,1,1,0,1,0
140,1,1,355,0,0,0,0,1,1
141,1,1,424,0,1,1,0,0,0
142,1,1,502,1,1,0,0,1,1
143,1,1,452,1,0,0,1,1,0
144,1,1,506,0,0,1,1,0,0
145,1,1,413,1,1,1,0,0,1
146,1,1,411,1,0,0,1,1,1
147,1,1,487,0,1,0,1,0,0
148,1,1,602,0,1,0,0,1,0
149,1,1,421,1,1,1,0,1,0
150,1,1,514,0,0,1,1,1,1
151,1,1,489,1,0,1,0,0,1
152,1,1,468,0,0,1,1,0,1
153,1,1,576,0,1,0,0,0,1
154,1,1,405,1,0,0,0,1,0
155,1,1,480,1,1,0,1,0,0
156,1,1,367,1,0,0,1,1,0
157,1,1,397,1,1,0,1,0,0
158,1,1,403,0,0,0,1,1,0
159,1,1,461,1,0,0,0,0,0
160,1,1,411,0,1,1,1,0,0
1,2,1,405,0,1,1,0,1,1
2,2,1,484,1,0,1,0,1,1
3,2,1,474,0,1,0,1,0,1
4,2,1,365,0,0,0,0,1,0
5,2,1,361,1,1,1,0,0,0
6,2,0,359,1,1,0,1,1,1
7,2,1,407,0,1,0,1,1,0
8,2,1,483,1,0,1,0,1,0
9,2,1,466,1,0,1,1,0,1
10,2,1,588,1,0,0,1,0,1
11,2,1,420,0,0,0,1,0,0
12,2,1,660,1,1,0,0,0,0
13,2,1,506,1,1,0,1,1,0
14,2,1,550,0,1,0,1,1,0
15,2,1,407,0,1,0,0,1,0
16,2,1,467,0,0,1,0,1,0
17,2,1,450,0,1,0,0,0,1
18,2,1,415,1,1,1,0,1,0
19,2,1,428,0,0,0,1,1,1
20,2,1,500,1,0,1,0,0,0
21,2,1,398,0,1,1,1,0,1
22,2,1,464,0,1,0,0,1,1
23,2,1,425,1,1,0,0,1,0
24,2,1,494,1,0,1,1,1,0
25,2,1,505,1,1,0,1,0,1
26,2,1,493,1,1,1,1,1,0
27,2,1,439,0,0,1,1,1,1
28,2,1,385,0,1,1,0,0,1
29,2,1,470,0,1,1,0,1,1
30,2,1,394,1,0,0,0,1,1
31,2,1,393,0,1,1,1,0,0
32,2,1,405,1,0,0,0,1,1
33,2,1,421,0,0,0,1,0,0
34,2,1,439,1,1,0,0,0,0
35,2,1,566,0,1,0,1,1,0
36,2,1,499,0,0,1,0,1,0
37,2,1,469,1,0,0,0,0,1
38,2,1,524,0,1,0,1,0,0
39,2,1,459,1,0,0,0,1,0
40,2,1,500,0,0,1,1,0,0
41,2,1,387,1,0,0,0,0,1
42,2,1,482,1,0,1,1,0,0
43,2,1,504,0,1,0,1,0,1
44,2,1,439,1,0,1,0,1,0
45,2,1,484,1,1,0,1,0,1
46,2,1,473,0,1,0,1,1,0
47,2,1,412,0,0,0,0,1,0
48,2,1,388,0,1,1,0,0,0
49,2,1,331,1,0,0,0,1,1
50,2,1,399,1,1,0,1,0,0
51,2,0,398,0,0,1,1,1,0
52,2,1,513,1,1,1,0,0,1
53,2,1,489,0,1,1,1,1,1
54,2,1,432,0,0,1,0,1,1
55,2,1,537,1,1,0,0,0,1
56,2,1,429,1,1,1,1,1,0
57,2,1,570,0,0,1,1,1,1
58,2,1,988,0,1,1,0,0,1
59,2,1,527,1,1,0,0,1,1
60,2,1,413,1,0,0,1,1,0
61,2,1,368,1,1,1,1,0,0
62,2,1,398,0,1,1,1,1,1
63,2,1,393,0,0,0,0,1,1
64,2,1,604,1,0,1,0,0,0
65,2,1,704,1,1,1,1,0,1
66,2,1,361,0,0,0,1,1,1
67,2,1,1045,1,1,0,0,0,0
68,2,1,373,1,0,0,1,1,0
69,2,1,401,1,0,0,1,0,0
70,2,1,373,0,1,1,1,0,0
71,2,0,313,0,1,0,0,1,1
72,2,1,328,1,1,1,0,1,0
73,2,1,372,0,0,0,1,1,1
74,2,1,545,1,0,1,0,0,0
75,2,1,424,1,1,1,1,0,1
76,2,1,504,0,0,1,1,1,1
77,2,1,470,0,1,0,0,0,1
78,2,1,531,1,0,1,0,1,0
79,2,1,374,1,0,0,1,0,1
80,2,1,441,0,1,0,1,0,0
81,2,0,494,0,1,1,0,1,0
82,2,1,600,0,0,1,0,1,1
83,2,1,429,1,0,1,0,0,1
84,2,1,430,0,0,0,1,0,1
85,2,1,883,1,1,0,0,0,0
86,2,1,451,1,0,1,1,1,0
87,2,1,554,1,0,1,1,0,1
88,2,1,381,1,0,0,1,0,1
89,2,1,456,0,1,1,1,0,0
90,2,1,561,0,0,0,0,1,1
91,2,1,403,0,0,0,0,0,0
92,2,1,489,1,1,0,0,0,0
93,2,1,363,0,0,0,1,1,0
94,2,1,535,0,0,1,0,0,0
95,2,0,282,1,1,0,0,0,1
96,2,0,386,0,0,1,1,1,0
97,2,0,170,1,1,0,0,0,1
98,2,1,888,0,0,1,1,1,0
99,2,1,490,1,1,1,0,0,1
100,2,1,403,1,0,1,1,1,1
101,2,1,513,1,0,1,1,0,1
102,2,1,376,1,0,0,1,0,1
103,2,1,553,0,0,1,1,0,0
104,2,1,595,0,1,0,0,0,1
105,2,1,438,1,0,0,0,1,0
106,2,1,374,1,0,0,1,0,0
107,2,1,461,1,0,0,1,0,0
108,2,1,471,1,1,1,1,0,0
109,2,1,368,0,0,0,1,1,1
110,2,1,523,0,1,0,0,0,0
111,2,1,564,1,1,0,0,1,0
112,2,1,417,0,1,1,1,1,0
113,2,1,542,0,0,1,0,1,1
114,2,1,433,0,1,1,0,0,1
115,2,0,378,1,1,0,0,1,1
116,2,1,338,1,1,1,1,1,0
117,2,1,404,0,0,0,1,1,1
118,2,1,503,0,1,0,0,0,0
119,2,1,368,0,1,1,0,1,0
120,2,1,397,0,1,1,0,1,1
121,2,1,479,0,0,1,0,1,1
122,2,1,480,0,1,0,0,0,1
123,2,1,440,0,0,1,0,1,0
124,2,1,472,1,0,0,0,0,1
125,2,1,511,1,0,1,1,0,0
126,2,1,484,1,0,1,1,0,1
127,2,1,490,0,1,1,1,0,1
128,2,1,754,1,0,1,0,1,1
129,2,1,473,0,0,0,1,0,1
130,2,1,443,1,1,1,0,0,0
131,2,1,423,0,0,1,1,1,1
132,2,1,449,0,1,1,0,0,1
133,2,1,490,1,1,1,0,1,1
134,2,1,1192,1,0,1,1,1,1
135,2,1,390,0,0,0,1,0,1
136,2,1,413,1,1,1,0,0,0
137,2,1,403,0,0,1,1,1,1
138,2,1,488,0,0,1,0,0,1
139,2,1,485,0,1,0,0,0,1
140,2,0,624,1,1,1,0,1,0
141,2,1,421,0,0,0,1,1,1
142,2,1,411,1,0,0,0,0,0
143,2,1,424,0,1,1,1,0,0
144,2,1,394,1,0,0,0,1,1
145,2,1,745,1,1,1,1,0,0
146,2,0,463,1,1,0,1,1,1
147,2,1,576,1,1,1,1,1,0
148,2,1,612,0,1,0,1,1,1
149,2,1,544,0,0,0,0,1,0
150,2,1,437,0,0,0,0,0,0
151,2,1,540,0,1,0,0,0,0
152,2,1,528,0,1,1,0,1,0
153,2,0,0,1,0,0,0,1,1
154,2,1,393,1,1,1,1,0,0
155,2,1,529,1,1,0,1,1,1
156,2,1,550,1,1,0,1,1,0
157,2,1,366,1,1,1,1,1,0
158,2,0,337,1,0,1,1,1,1
159,2,1,423,0,0,1,1,0,1
160,2,1,390,0,0,0,0,0,0
160,2,1,390,0,0,0,0,0,1
1,3,1,787,1,1,0,1,1,0
2,3,1,438,1,1,0,1,1,0
3,3,1,418,0,1,0,1,1,0
4,3,1,436,0,0,1,0,1,0
5,3,1,402,1,1,0,0,0,1
6,3,1,450,0,1,0,1,1,0
7,3,1,367,1,1,0,0,1,0
8,3,1,453,0,0,1,1,1,0
9,3,1,391,1,0,0,0,0,1
10,3,1,324,1,0,1,1,0,0
11,3,1,384,0,1,1,1,0,1
12,3,1,393,1,1,1,0,1,1
13,3,1,363,0,1,1,1,1,1
14,3,1,806,0,0,1,0,1,1
15,3,1,344,1,1,1,0,0,1
16,3,1,429,0,1,0,1,1,1
17,3,1,383,0,1,1,0,1,0
18,3,1,478,1,0,1,0,1,1
19,3,1,776,0,1,0,1,0,1
20,3,1,406,1,1,1,0,1,0
21,3,1,391,0,1,0,1,1,1
22,3,1,486,1,0,1,0,1,0
23,3,1,382,0,1,1,1,0,1
24,3,1,367,1,1,1,0,1,1
25,3,1,336,0,1,1,1,1,1
26,3,1,373,0,1,1,0,1,1
27,3,1,338,1,1,1,0,1,1
28,3,1,505,0,0,1,1,1,1
29,3,1,341,1,1,1,0,0,1
30,3,1,363,1,0,0,1,1,1
31,3,1,329,0,0,0,0,0,0
31,3,1,329,0,0,0,1,0,0
32,3,1,313,1,0,0,0,0,0
33,3,1,729,1,0,0,1,0,0
34,3,1,613,0,0,1,1,0,0
35,3,1,390,1,1,1,0,0,1
36,3,1,359,0,1,1,1,1,1
37,3,1,365,1,0,0,0,1,1
38,3,1,357,1,0,0,1,0,0
39,3,0,275,1,1,0,1,0,0
40,3,1,447,1,1,0,1,1,0
41,3,1,362,0,1,1,1,1,0
42,3,1,499,1,0,0,0,1,1
43,3,1,399,0,1,1,1,0,0
44,3,1,540,0,1,0,0,1,1
45,3,1,419,0,0,1,0,1,0
46,3,1,431,0,0,1,0,0,1
47,3,1,401,0,0,1,0,0,1
48,3,1,375,0,0,0,0,0,1
49,3,1,408,0,0,0,0,0,0
50,3,1,380,0,0,0,0,0,0
51,3,1,565,1,1,0,0,0,0
52,3,1,384,1,0,0,1,1,0
53,3,1,391,0,1,1,1,0,0
54,3,1,471,1,1,0,0,1,1
55,3,1,353,0,1,0,1,1,0
56,3,1,407,1,0,1,0,1,0
57,3,1,384,0,1,0,1,0,1
58,3,1,490,0,0,0,0,1,0
59,3,1,763,0,1,1,0,0,0
60,3,1,386,0,0,1,0,1,1
61,3,1,355,1,1,0,0,0,1
62,3,1,379,0,1,1,1,1,0
63,3,1,596,0,1,0,0,1,1
64,3,1,534,0,1,0,0,1,0
65,3,1,417,1,0,1,0,1,0
66,3,1,524,0,0,1,1,0,1
67,3,1,427,1,1,1,0,0,1
68,3,1,872,1,1,0,1,1,1
69,3,1,385,0,0,1,1,1,0
70,3,1,370,0,0,0,0,0,1
71,3,1,445,1,0,1,0,0,0
72,3,1,457,1,1,0,1,0,1
73,3,1,419,0,0,1,1,1,0
74,3,1,422,1,1,1,0,0,1
75,3,1,410,0,1,1,1,1,1
76,3,1,431,1,0,0,0,1,1
77,3,1,432,0,0,0,1,0,0
78,3,1,428,1,0,1,0,0,0
79,3,1,468,1,1,1,1,0,1
80,3,1,395,1,0,0,1,1,1
81,3,1,681,1,0,1,1,0,0
82,3,1,413,1,1,1,1,0,1
83,3,1,393,1,0,0,1,1,1
84,3,1,352,0,0,0,1,0,0
85,3,1,538,1,0,1,0,0,0
86,3,1,431,1,0,0,1,0,1
87,3,1,353,1,0,1,1,0,0
88,3,1,311,0,0,0,1,0,1
89,3,1,371,1,0,0,0,0,0
90,3,1,441,1,0,1,1,0,0
91,3,1,363,0,0,1,1,0,1
92,3,1,510,0,1,0,0,0,1
93,3,0,415,0,1,0,0,1,0
94,3,0,462,0,1,0,0,1,0
95,3,1,444,0,0,0,0,1,0
96,3,1,425,0,0,1,0,0,0
97,3,1,393,1,0,1,0,0,1
98,3,1,531,1,1,0,1,0,1
99,3,1,643,0,0,0,1,1,0
100,3,1,347,1,0,0,0,0,0
101,3,1,394,1,1,1,1,0,0
102,3,1,373,0,0,1,1,1,1
103,3,1,354,0,0,0,0,0,1
104,3,1,863,0,1,0,0,0,0
105,3,1,401,0,1,1,0,1,0
106,3,1,442,1,1,0,0,1,1
107,3,1,245,1,1,0,1,1,0
108,3,1,351,0,1,1,1,1,0
109,3,1,476,0,0,1,0,1,1
110,3,0,612,0,1,0,0,0,1
111,3,1,420,0,0,0,0,1,0
112,3,1,846,0,1,0,0,0,0
113,3,1,694,1,1,1,0,1,0
114,3,1,339,1,1,1,1,1,1
115,3,1,545,0,1,0,1,1,1
116,3,1,362,1,1,0,0,1,0
117,3,1,359,1,1,1,1,1,0
118,3,1,501,0,0,1,1,1,1
119,3,1,415,0,1,1,0,0,1
120,3,1,366,1,0,0,0,1,1
121,3,1,495,0,0,0,1,0,0
122,3,1,396,1,0,1,0,0,0
123,3,1,428,0,1,1,1,0,1
124,3,1,385,1,0,0,0,1,1
125,3,1,470,1,0,1,1,0,0
126,3,1,468,0,1,0,1,0,1
127,3,1,365,0,0,0,0,1,0
128,3,1,500,0,0,0,0,0,0
129,3,1,493,0,1,0,0,0,0
130,3,1,398,0,0,0,0,1,0
131,3,1,365,1,1,1,0,0,0
132,3,1,362,0,0,0,1,1,1
133,3,1,413,1,0,0,0,0,0
134,3,1,671,1,0,1,1,0,0
135,3,1,353,0,0,1,1,0,1
136,3,1,486,1,1,0,0,0,1
137,3,1,592,1,1,0,1,1,0
138,3,1,412,1,0,1,1,1,0
139,3,1,346,1,0,0,1,0,1
140,3,1,416,1,0,1,1,0,0
141,3,1,486,1,1,0,1,0,1
142,3,1,473,1,1,0,1,1,0
143,3,1,392,0,0,1,1,1,0
144,3,1,406,0,1,1,0,0,1
145,3,1,397,0,1,0,0,1,1
146,3,1,432,1,0,1,0,1,0
147,3,1,397,1,1,1,1,0,1
148,3,1,407,1,1,1,1,1,1
149,3,1,287,1,1,1,1,1,1
150,3,1,654,1,1,0,1,1,1
151,3,1,503,0,0,0,1,1,0
152,3,1,330,1,0,0,0,0,0
153,3,1,390,1,1,1,1,0,0
154,3,1,345,1,0,0,1,1,1
155,3,1,354,0,1,1,1,0,0
156,3,1,368,0,1,1,0,1,1
157,3,1,548,1,0,1,0,1,1
158,3,1,420,0,0,1,1,0,1
159,3,1,357,0,0,0,0,0,1
160,3,1,462,1,0,1,0,0,0
1,4,1,488,0,1,0,0,1,0
2,4,1,393,1,1,0,0,1,0
3,4,1,357,1,1,1,1,1,0
4,4,1,467,1,0,1,1,1,1
5,4,1,340,1,0,0,1,0,1
6,4,1,414,0,1,0,1,0,0
7,4,1,309,0,0,0,0,1,0
8,4,1,363,0,0,1,0,0,0
9,4,1,331,1,0,0,0,0,1
10,4,1,541,0,1,0,1,0,0
11,4,1,458,1,1,0,0,1,0
12,4,0,470,0,1,1,1,1,0
13,4,1,509,1,1,0,0,1,1
14,4,1,346,1,1,1,1,1,0
15,4,1,425,0,0,0,1,1,1
16,4,1,516,0,1,0,0,0,0
17,4,1,397,0,1,0,0,1,0
18,4,1,431,0,0,0,0,1,0
19,4,1,517,1,1,0,0,0,0
20,4,1,332,1,1,0,1,1,0
21,4,1,432,1,0,1,1,1,0
22,4,1,349,0,0,1,1,0,1
23,4,1,400,0,1,1,0,0,1
24,4,1,481,1,0,1,0,1,1
25,4,1,393,0,1,0,1,0,1
26,4,1,469,0,1,0,0,1,0
27,4,1,394,1,1,0,0,1,0
28,4,1,466,1,1,1,1,1,0
29,4,1,420,0,1,0,1,1,1
30,4,1,416,1,0,0,0,1,0
31,4,1,390,1,1,0,1,0,0
32,4,1,389,0,0,0,1,1,0
33,4,1,369,1,1,0,0,0,0
34,4,1,475,1,1,1,1,1,0
35,4,1,368,0,0,0,1,1,1
36,4,1,504,0,0,1,0,0,0
37,4,1,378,1,0,0,0,0,1
38,4,0,285,0,1,0,1,0,0
39,4,1,382,1,1,1,0,1,0
40,4,1,422,1,0,1,1,1,1
41,4,1,482,1,0,0,1,0,1
42,4,1,586,0,1,0,1,0,0
43,4,1,386,1,1,1,0,1,0
44,4,1,388,1,0,0,1,1,1
45,4,1,392,1,0,1,1,0,0
46,4,1,442,0,1,0,1,0,1
47,4,1,363,0,0,0,0,1,0
48,4,1,349,0,0,0,0,0,0
49,4,1,410,1,1,1,0,0,0
50,4,1,288,0,0,0,1,1,1
51,4,1,380,0,0,0,0,0,0
52,4,1,347,0,0,0,0,0,0
53,4,1,414,1,0,0,0,0,0
54,4,1,402,0,1,1,1,0,0
55,4,1,347,1,1,1,0,1,1
56,4,1,477,0,0,1,1,1,1
57,4,1,519,0,0,0,0,0,1
58,4,1,441,0,0,1,0,0,0
59,4,1,520,1,1,0,0,0,1
60,4,1,453,0,1,0,1,1,0
61,4,1,444,0,0,1,0,1,0
62,4,1,962,1,0,1,0,0,1
63,4,1,876,1,1,0,1,0,1
64,4,1,317,0,0,0,1,1,0
65,4,1,346,1,0,0,0,0,0
66,4,1,345,1,0,0,1,0,0
67,4,1,360,0,1,1,1,0,0
68,4,1,490,1,0,0,0,1,1
69,4,1,489,0,0,1,1,0,0
70,4,1,338,0,0,0,0,0,1
71,4,1,766,0,1,0,0,0,0
72,4,1,534,1,1,1,0,1,0
73,4,1,467,0,0,1,1,1,1
74,4,1,378,1,0,1,0,0,1
75,4,1,825,1,1,0,1,0,1
76,4,1,794,0,1,1,1,1,0
77,4,1,552,0,1,0,0,1,1
78,4,1,434,0,1,0,0,1,0
79,4,1,370,1,1,0,0,1,0
80,4,1,379,0,1,1,1,1,0
81,4,1,720,1,1,1,0,1,1
82,4,1,649,0,1,1,1,1,1
83,4,1,494,1,0,1,0,1,1
84,4,1,410,0,1,0,1,0,1
85,4,1,452,0,1,1,0,1,0
86,4,1,436,0,1,0,0,1,1
87,4,1,395,1,1,0,0,1,0
88,4,1,448,0,0,1,1,1,0
89,4,1,392,0,1,1,0,0,1
90,4,1,649,0,1,0,0,1,1
91,4,1,366,0,0,0,0,1,0
92,4,1,352,1,1,1,0,0,0
93,4,1,392,0,0,1,1,1,1
94,4,1,480,1,0,1,0,0,1
95,4,1,379,1,1,1,1,0,1
96,4,1,338,0,0,0,1,1,1
97,4,1,322,0,1,1,0,0,0
98,4,1,570,1,1,0,0,1,1
99,4,1,367,0,0,0,1,1,0
100,4,1,382,0,1,1,0,0,0
101,4,1,404,1,1,1,0,1,1
102,4,1,370,0,0,0,0,0,0
102,4,1,370,0,0,0,1,1,1
103,4,1,507,1,0,1,0,0,0
104,4,1,440,0,0,1,1,0,1
105,4,1,956,1,0,1,0,0,1
106,4,1,365,1,0,1,1,0,1
107,4,1,439,1,1,0,1,0,1
108,4,1,300,1,0,0,1,1,0
109,4,1,408,0,0,1,1,0,0
110,4,1,358,1,0,0,0,0,1
111,4,1,348,1,1,1,1,0,0
112,4,1,243,1,0,0,1,1,1
113,4,1,457,1,1,1,1,0,0
114,4,1,434,0,0,1,1,1,1
115,4,1,347,1,0,1,0,0,1
116,4,1,344,1,0,0,1,0,1
117,4,1,394,1,0,0,1,0,0
118,4,1,377,0,0,0,1,0,0
119,4,1,403,0,1,1,0,0,0
120,4,1,550,1,1,0,0,1,1
121,4,1,404,0,0,1,1,1,0
122,4,1,533,1,1,0,0,0,1
123,4,1,504,0,1,1,1,1,0
124,4,1,1807,1,1,0,0,1,1
125,4,1,462,0,0,1,1,1,0
126,4,1,468,1,0,1,0,0,1
127,4,1,475,1,1,0,1,0,1
128,4,1,413,0,0,1,1,1,0
129,4,1,407,1,0,1,0,0,1
130,4,1,414,1,0,0,1,0,1
131,4,1,739,0,1,0,1,0,0
132,4,1,371,1,0,0,0,1,0
133,4,1,481,1,0,1,1,0,0
134,4,1,420,0,1,1,1,0,1
135,4,1,351,1,1,1,0,1,1
136,4,1,385,1,0,1,1,1,1
137,4,1,369,0,1,1,1,0,1
138,4,1,410,0,0,1,0,1,1
139,4,1,510,0,0,1,0,0,1
140,4,1,396,0,1,1,0,0,1
141,4,1,362,0,0,0,0,1,1
142,4,1,340,0,0,0,0,0,0
143,4,1,386,1,0,0,0,0,0
144,4,1,406,0,1,1,1,0,0
145,4,1,515,1,1,1,0,1,1
146,4,1,388,1,1,1,1,1,1
147,4,1,361,1,0,0,1,1,1
148,4,1,465,0,1,0,1,0,0
149,4,1,439,0,0,1,0,1,0
150,4,1,883,1,1,0,0,0,1
151,4,1,352,0,1,1,1,1,0
152,4,1,373,1,0,0,0,1,1
153,4,1,469,0,0,1,1,0,0
154,4,1,345,1,0,1,0,0,1
155,4,1,452,0,1,1,1,0,1
156,4,1,401,1,0,1,0,1,1
157,4,1,357,1,1,1,1,0,1
158,4,1,364,1,0,1,1,1,1
159,4,1,365,1,1,1,1,0,1
160,4,1,419,0,1,1,1,1,1
