trialnumber,blocknumber,success,reactiontime,currentcongruency,currentdirection,currentlocation,previouscongruency,previousdirection,previouslocation
1,1,0,0,0,1,1,0,1,1
2,1,1,509,1,0,0,0,1,1
3,1,1,450,0,0,0,1,0,0
4,1,1,537,1,1,0,0,0,0
5,1,1,310,0,0,0,1,1,0
6,1,1,485,1,1,0,0,0,0
7,1,1,279,1,0,0,1,1,0
8,1,1,487,0,1,0,1,0,0
9,1,1,356,0,1,1,0,1,0
10,1,1,580,0,0,1,0,1,1
11,1,1,444,1,0,0,0,0,1
12,1,1,420,1,1,0,1,0,0
13,1,1,490,0,1,0,1,1,0
14,1,1,355,1,1,1,0,1,0
15,1,1,321,1,0,0,1,1,1
16,1,1,315,0,1,1,1,0,0
17,1,1,617,0,1,0,0,1,1
18,1,1,371,1,0,0,0,1,0
19,1,1,475,0,0,1,1,0,0
20,1,1,305,1,1,1,0,0,1
21,1,1,511,0,1,0,1,1,1
22,1,1,495,0,1,0,0,1,0
23,1,1,503,1,0,1,0,1,0
24,1,1,813,0,0,1,1,0,1
25,1,1,528,1,0,0,0,0,1
26,1,1,368,1,1,1,1,0,0
27,1,1,333,0,0,1,1,1,1
28,1,1,435,0,0,1,0,0,1
29,1,1,389,1,1,0,0,0,1
30,1,1,270,0,0,0,1,1,0
31,1,1,405,0,1,0,0,0,0
32,1,1,411,0,0,1,0,1,0
33,1,1,333,0,1,1,0,0,1
34,1,1,413,1,1,1,0,1,1
35,1,1,438,0,1,0,1,1,1
36,1,1,475,1,0,1,0,1,0
37,1,1,434,1,1,1,1,0,1
38,1,1,321,0,1,1,1,1,1
39,1,1,258,0,1,1,0,1,1
40,1,0,207,1,0,1,0,1,1
41,1,1,407,1,1,0,1,0,1
42,1,1,355,1,0,0,1,1,0
43,1,1,594,1,1,0,1,0,0
44,1,1,393,1,1,0,1,1,0
45,1,1,391,0,0,0,1,1,0
46,1,1,421,1,1,1,0,0,0
47,1,1,334,0,1,1,1,1,1
48,1,1,475,1,0,1,0,1,1
49,1,1,425,1,1,0,1,0,1
50,1,1,635,1,1,1,1,1,0
51,1,1,415,0,0,1,1,1,1
52,1,1,507,0,0,0,0,0,1
53,1,1,298,1,1,1,0,0,0
54,1,1,379,0,0,1,1,1,1
55,1,1,586,1,0,1,0,0,1
56,1,1,789,0,1,0,1,0,1
57,1,1,342,0,0,0,0,1,0
58,1,1,374,1,0,0,0,0,0
59,1,1,514,0,1,0,1,0,0
60,1,1,348,0,0,0,0,1,0
61,1,1,843,1,1,0,0,0,0
62,1,1,404,0,1,0,1,1,0
63,1,1,387,0,1,0,0,1,0
64,1,1,548,1,1,0,0,1,0
65,1,1,386,0,0,0,1,1,0
66,1,1,307,0,0,0,0,0,0
67,1,1,432,0,0,0,0,0,0
68,1,1,408,0,1,1,0,0,0
69,1,1,607,0,1,0,0,1,1
70,1,1,435,0,1,0,0,1,0
71,1,1,513,0,0,1,0,1,0
72,1,1,692,0,1,0,0,0,1
73,1,1,383,0,1,1,0,1,0
74,1,1,440,1,1,0,0,1,1
75,1,1,387,0,0,1,1,1,0
76,1,1,471,0,0,0,0,0,1
77,1,1,423,1,0,1,0,0,0
78,1,1,382,0,1,1,1,0,1
79,1,1,448,1,0,1,0,1,1
80,1,1,445,1,1,0,1,0,1
81,1,1,504,1,0,1,1,1,0
82,1,1,413,0,1,1,1,0,1
83,1,1,500,1,1,1,0,1,1
84,1,1,340,1,0,0,1,1,1
85,1,1,362,0,0,0,1,0,0
86,1,1,463,0,1,0,0,0,0
87,1,1,507,1,1,0,0,1,0
88,1,1,402,0,0,0,1,1,0
89,1,1,352,0,0,0,0,0,0
90,1,1,319,1,0,0,0,0,0
91,1,1,405,0,1,1,1,0,0
92,1,1,463,1,1,0,0,1,1
93,1,1,201,1,0,0,1,1,0
94,1,1,467,1,1,0,1,0,0
95,1,1,478,1,0,1,1,1,0
96,1,1,482,0,0,1,1,0,1
97,1,1,1178,0,1,0,0,0,1
98,1,1,379,1,1,1,0,1,0
99,1,1,317,1,1,1,1,1,1
100,1,1,444,1,0,1,1,1,1
101,1,1,366,1,0,0,1,0,1
102,1,1,346,1,1,1,1,0,0
103,1,1,254,1,0,0,1,1,1
104,1,1,434,0,1,0,1,0,0
105,1,1,315,1,0,0,0,1,0
106,1,1,401,1,1,0,1,0,0
107,1,1,409,1,0,1,1,1,0
108,1,1,313,0,1,1,1,0,1
109,1,1,227,0,0,1,0,1,1
110,1,1,443,0,0,0,0,0,1
111,1,1,436,1,0,1,0,0,0
112,1,1,390,1,0,1,1,0,1
113,1,1,294,0,0,0,1,0,1
114,1,1,489,0,0,1,0,0,0
115,1,0,246,0,1,0,0,0,1
116,1,1,380,1,0,0,0,1,0
117,1,1,481,0,1,1,1,0,0
118,1,1,381,0,0,1,0,1,1
119,1,1,451,1,1,1,0,0,1
120,1,1,349,0,1,1,1,1,1
121,1,1,364,0,1,1,0,1,1
122,1,1,229,0,1,1,0,1,1
123,1,1,364,1,0,1,0,1,1
124,1,1,408,1,0,1,1,0,1
125,1,0,255,1,1,1,1,0,1
126,1,1,349,0,0,0,1,1,1
127,1,1,325,0,0,0,0,0,0
127,1,1,325,0,0,0,0,0,0
128,1,1,633,1,0,1,0,0,0
129,1,1,361,0,0,0,1,0,1
130,1,1,704,0,0,1,0,0,0
131,1,0,338,1,1,1,0,0,1
132,1,1,426,1,1,1,1,1,1
133,1,1,481,0,0,1,1,1,1
134,1,1,619,0,1,1,0,0,1
135,1,1,413,0,0,1,0,1,1
136,1,1,383,1,0,0,0,0,1
137,1,1,373,1,0,0,1,0,0
138,1,1,530,1,1,1,1,0,0
139,1,1,516,1,0,1,1,1,1
140,1,1,534,0,1,0,1,0,1
141,1,1,327,0,1,1,0,1,0
142,1,0,299,1,1,0,0,1,1
143,1,1,429,1,0,1,1,1,0
144,1,1,467,0,0,1,1,0,1
145,1,1,630,1,1,0,0,0,1
146,1,1,330,1,1,1,1,1,0
147,1,1,369,1,0,1,1,1,1
148,1,1,440,1,1,0,1,0,1
149,1,1,394,0,1,1,1,1,0
150,1,0,301,1,1,0,0,1,1
151,1,1,407,0,0,0,1,1,0
152,1,1,448,0,0,1,0,0,0
153,1,1,457,1,0,0,0,0,1
154,1,1,365,0,0,1,1,0,0
155,1,1,386,1,0,0,0,0,1
156,1,1,372,1,0,0,1,0,0
157,1,1,590,1,0,1,1,0,0
158,1,1,583,0,1,0,1,0,1
159,1,1,341,1,1,1,0,1,0
160,1,1,466,1,1,1,1,1,1
1,2,0,0,1,1,1,1,1,1
2,2,0,0,0,1,1,1,1,1
3,2,1,471,0,1,0,0,1,1
4,2,1,351,1,1,0,0,1,0
5,2,1,237,1,1,1,1,1,0
6,2,0,240,1,0,1,1,1,1
7,2,1,428,1,1,0,1,0,1
8,2,1,440,1,1,0,1,1,0
9,2,1,508,0,1,0,1,1,0
10,2,1,375,1,0,0,0,1,0
11,2,1,406,1,1,1,1,0,0
12,2,1,325,0,1,1,1,1,1
13,2,1,383,0,0,0,0,1,1
14,2,1,360,1,1,1,0,0,0
15,2,1,480,1,0,1,1,1,1
16,2,1,433,1,1,0,1,0,1
17,2,1,436,1,0,1,1,1,0
18,2,1,314,0,1,1,1,0,1
19,2,1,519,0,1,0,0,1,1
